#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL475	0.567661	0.567661	0.0510712	0.535936	0.00621721	0.201444	0.563814	0.542746	0.521167	0.630909	0.532146	0.172479	0.633477	0.56386	0.51671	0.0355369	0.574148	0.531952	0.512612	0.0189184	N/A
ORTHOMCL493	0.552135	0.00197957	0.517477	0.518477	0.0508264	0.201444	0.09576	0.542746	0.521167	0.19678	0.532146	0.614808	0.326893	0.615759	0.51671	0.295932	0.0139269	0.560874	0.512612	0.512612	N/A
ORTHOMCL497	0.567661	0.567661	0.517477	0.518477	6.59164e-05	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.00213052	0.00145659	0.56386	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL520	0.518363	0.518363	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	9.11724e-06	0.633477	0.56386	0.508462	1.96596e-06	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL566	0.518363	0.518363	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.0317525	0.630909	0.532146	4.09415e-05	0.195044	0.56386	0.51671	0.00322904	0.632234	0.0913443	0.512612	0.512612	N/A
ORTHOMCL572	5.8991e-08	0.518363	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.000983555	0.000227984	0.531952	0.506367	0.506367	N/A
ORTHOMCL578	0.518363	0.00926429	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.0317525	0.630909	0.532146	0.172479	0.633477	0.56386	0.51671	0.00322904	0.000809543	0.0913443	0.512612	0.512612	N/A
ORTHOMCL580	0.518363	0.518363	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.0317525	7.39391e-05	0.532146	0.614808	0.633477	0.56386	0.51671	0.124661	0.0767634	0.0913443	0.512612	0.512612	N/A
ORTHOMCL582	0.567661	0.0369985	0.517477	0.518477	6.59164e-05	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.0325684	0.633477	0.56386	0.508462	0.618034	0.00295617	0.531952	0.506367	0.506367	N/A
ORTHOMCL583	0.567661	0.567661	0.517477	0.518477	0.00621721	0.201444	0.09576	0.542746	0.521167	0.630909	0.532146	0.0651893	0.633477	0.56386	0.51671	0.295932	0.632234	0.0913443	0.512612	0.512612	N/A
