#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL61	0.0947825	6.62424e-05	0.553663	0.556541	0.650333	0.376604	0.205618	0.574613	0.538001	0.000395674	0.556895	0.299707	0.74394	0.648552	0.533566	0.0968482	0.000597576	0.172118	0.525503	0.525503	N/A
ORTHOMCL62	0.543377	0.543377	0.553663	0.556541	0.609422	0.690896	0.597692	0.551776	0.525838	0.65329	0.539086	0.647422	8.43641e-06	0.301766	0.0504523	9.27171e-05	0.718954	0.613753	0.525503	0.525503	N/A
ORTHOMCL64	0.0113052	0.614239	0.116437	0.58117	0.00121658	0.743634	0.635566	0.574613	0.538001	0.0414487	0.556895	0.299707	0.795565	0.301766	0.533566	0.431113	0.718954	0.613753	0.525503	0.525503	N/A
ORTHOMCL65	0.643185	0.643185	0.553663	0.556541	7.71036e-06	0.376604	0.205618	0.574613	0.538001	0.702598	0.556895	0.69588	0.74394	0.648552	0.533566	0.216927	0.718954	0.172118	0.525503	0.525503	N/A
ORTHOMCL67	0.522438	0.522438	0.527996	0.529569	0.559997	0.61419	0.552979	0.526969	0.513178	0.58786	0.520148	0.583972	0.656541	0.584716	0.511585	0.639212	1.16329e-28	0.543165	0.508727	0.508727	N/A
ORTHOMCL68	0.581193	4.42495e-06	0.577216	0.58117	0.0920799	0.029253	0.635566	0.574613	0.538001	0.702598	0.556895	0.129646	0.0582655	0.130817	0.533566	0.216927	0.718954	0.613753	0.525503	0.525503	N/A
ORTHOMCL69	9.42829e-06	0.00294094	0.527996	0.529569	0.650333	0.029253	0.00540186	0.574613	0.000908282	0.093352	0.589422	0.0866847	0.0178037	0.734661	0.554064	0.834839	0.238759	0.25807	0.54142	0.54142	N/A
ORTHOMCL70	3.31774e-07	0.598268	0.553663	0.556541	0.000429952	0.690896	0.597692	0.551776	0.525838	0.230662	0.539086	0.647422	0.74394	0.648552	0.522768	0.72331	2.89038e-05	0.580824	0.517225	0.517225	N/A
ORTHOMCL71	0.0452614	0.581193	0.0805168	0.556541	0.684368	0.00649671	0.0100165	0.595654	0.54969	0.17742	0.573651	0.16969	0.370283	0.223479	0.543994	0.276603	0.0104519	0.00651058	0.533566	0.533566	N/A
ORTHOMCL74	0.0785282	0.629186	0.00136642	0.58117	8.97471e-05	0.376604	0.635566	0.574613	0.538001	0.310364	0.556895	0.299707	0.464791	0.130817	0.533566	0.776191	0.336509	0.613753	0.525503	0.525503	N/A
ORTHOMCL76	0.00109147	0.643185	0.527996	0.529569	1.76113e-07	0.287977	0.146693	0.551776	0.525838	0.230662	0.539086	0.221767	0.74394	0.648552	0.522768	0.148518	0.00184689	0.580824	0.517225	0.517225	N/A
ORTHOMCL77	0.614239	0.614239	0.527996	0.529569	0.00121658	0.029253	0.00540186	0.574613	0.538001	0.0414487	0.556895	0.0148542	0.370283	0.223479	0.533566	0.0968482	8.4911e-05	0.172118	0.525503	0.525503	N/A
ORTHOMCL78	0.598268	0.0564491	0.527996	0.529569	0.000429952	0.287977	0.146693	0.551776	0.525838	0.230662	0.539086	0.647422	0.370283	0.223479	0.0504523	1.77043e-05	0.000597576	0.172118	0.525503	0.525503	N/A
