Family.ID	Desc	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
ORTHOMCL583	null	1	1	4	4	1	1	2	3	1	1	2
ORTHOMCL585	null	2	2	2	2	2	2	2	2	1	2	2
ORTHOMCL601	null	1	1	1	1	1	6	5	1	1	1	1
ORTHOMCL603	null	4	1	4	4	0	0	2	1	1	1	2
ORTHOMCL611	null	4	1	3	3	2	1	1	1	1	1	2
ORTHOMCL613	null	2	2	1	1	2	2	2	3	2	2	1
ORTHOMCL617	null	4	1	2	2	3	1	1	1	1	1	3
ORTHOMCL620	null	2	2	3	1	2	1	2	1	2	2	2
ORTHOMCL624	null	1	1	2	3	3	1	1	2	1	1	4
ORTHOMCL628	null	2	1	3	2	1	2	2	1	2	2	2
ORTHOMCL644	null	3	1	3	3	3	1	2	1	1	1	1
ORTHOMCL645	null	1	1	5	6	1	1	1	1	1	1	1
ORTHOMCL648	null	1	1	4	7	1	2	1	1	1	0	1
ORTHOMCL651	null	2	1	2	1	1	1	3	1	2	2	4
ORTHOMCL657	null	1	1	1	2	1	1	1	4	1	1	6
ORTHOMCL673	null	1	1	3	7	1	1	2	1	1	1	1
ORTHOMCL679	null	1	1	4	3	1	1	1	1	1	1	4
ORTHOMCL706	null	1	1	4	6	1	1	1	1	1	1	1
ORTHOMCL709	null	1	1	1	1	4	2	1	1	1	1	5
ORTHOMCL711	null	4	1	2	2	3	1	2	1	1	1	1
ORTHOMCL722	null	4	1	3	1	1	1	1	1	1	1	4
ORTHOMCL731	null	1	1	4	3	2	1	3	1	1	1	1
ORTHOMCL752	null	1	1	1	1	3	0	8	1	1	1	1
ORTHOMCL755	null	1	1	4	6	1	1	1	1	1	1	1
ORTHOMCL756	null	2	1	1	2	4	2	1	1	2	2	1
ORTHOMCL761	null	1	1	2	3	0	2	2	2	2	2	2
ORTHOMCL766	null	1	1	3	4	1	3	1	2	1	1	1
ORTHOMCL777	null	1	1	3	3	1	1	1	1	1	1	5
ORTHOMCL778	null	1	1	4	6	1	1	1	1	1	1	1
ORTHOMCL782	null	0	1	1	1	4	0	4	6	0	2	0
ORTHOMCL791	null	1	2	2	1	1	1	1	2	2	3	2
ORTHOMCL804	null	5	1	1	2	1	2	1	1	1	1	2
ORTHOMCL807	null	3	1	2	2	1	2	3	1	1	1	1
ORTHOMCL810	null	2	1	1	1	1	1	2	1	1	1	6
ORTHOMCL812	null	2	2	1	1	1	2	2	1	2	2	2
ORTHOMCL836	null	3	3	1	2	2	1	1	1	3	1	0
ORTHOMCL838	null	1	1	3	2	3	1	2	1	1	1	2
ORTHOMCL846	null	2	1	2	1	3	1	4	1	1	1	1
ORTHOMCL848	null	2	2	1	1	2	2	2	2	1	1	2
ORTHOMCL864	null	2	1	1	2	2	2	1	1	2	2	2
ORTHOMCL866	null	3	4	2	1	1	2	1	1	1	1	1
ORTHOMCL873	null	1	1	1	1	1	1	1	1	1	1	8
ORTHOMCL874	null	2	2	2	1	1	4	2	1	2	0	1
ORTHOMCL886	null	1	1	4	4	1	2	1	1	1	1	1
ORTHOMCL889	null	1	1	1	1	5	2	1	1	1	1	3
ORTHOMCL892	null	1	1	2	2	2	2	2	2	1	1	2
ORTHOMCL901	null	1	1	1	3	3	1	3	2	1	1	1
ORTHOMCL902	null	1	1	3	3	4	1	1	1	1	1	1
ORTHOMCL907	null	1	1	1	5	1	1	3	2	1	1	1
ORTHOMCL920	null	1	1	3	3	1	1	1	3	1	1	1
ORTHOMCL924	null	5	1	1	1	1	2	1	1	1	1	2
ORTHOMCL940	null	1	1	1	2	5	2	1	2	0	1	1
ORTHOMCL943	null	2	1	2	2	1	2	1	2	1	1	2
ORTHOMCL948	null	1	1	2	2	2	2	2	1	1	1	2
ORTHOMCL950	null	1	1	1	1	1	1	3	1	1	1	5
ORTHOMCL955	null	1	1	2	2	2	1	1	0	1	1	5
ORTHOMCL961	null	1	1	3	3	3	1	1	1	1	1	1
ORTHOMCL973	null	1	1	1	1	2	2	1	2	1	1	4
ORTHOMCL979	null	1	1	1	2	1	1	2	3	2	2	1
