Family.ID	Desc	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
ORTHOMCL78	null	1	1	5	6	10	1	1	2	1	1	7
ORTHOMCL79	null	0	1	7	10	5	1	8	2	1	1	0
ORTHOMCL80	null	3	1	5	4	6	3	1	3	4	1	4
ORTHOMCL81	null	4	2	4	3	4	4	3	3	2	3	3
ORTHOMCL82	null	3	1	4	6	9	1	3	1	1	1	5
ORTHOMCL83	null	2	2	3	3	3	4	4	4	3	3	4
ORTHOMCL84	null	3	2	7	6	1	2	2	3	3	3	3
ORTHOMCL85	null	3	4	5	4	1	2	6	1	2	3	4
ORTHOMCL86	null	3	2	6	3	9	2	3	2	2	1	2
ORTHOMCL87	null	2	2	5	4	5	2	3	3	2	2	5
ORTHOMCL88	null	1	1	4	6	9	1	4	1	1	1	6
ORTHOMCL89	null	3	2	3	6	3	4	3	4	2	2	3
ORTHOMCL90	null	6	1	3	3	5	5	1	1	2	4	3
ORTHOMCL92	null	5	2	5	5	3	2	4	2	2	2	2
ORTHOMCL93	null	2	2	3	3	2	4	4	3	4	3	4
ORTHOMCL94	null	4	3	3	3	3	3	3	3	3	3	3
ORTHOMCL96	null	5	1	3	4	3	2	4	5	1	1	4
ORTHOMCL97	null	1	1	12	1	1	1	1	1	1	1	12
ORTHOMCL98	null	4	3	4	2	2	3	4	2	3	3	3
ORTHOMCL99	null	2	2	4	3	4	3	2	3	3	3	4
ORTHOMCL101	null	3	2	2	2	1	4	2	6	2	2	7
ORTHOMCL102	null	3	3	5	3	2	2	3	3	3	4	2
ORTHOMCL104	null	3	3	3	3	2	3	3	3	4	3	3
ORTHOMCL105	null	2	1	3	2	4	4	5	2	4	2	4
ORTHOMCL106	null	1	1	3	3	6	2	2	2	2	1	10
ORTHOMCL107	null	5	2	2	2	2	2	4	2	3	5	3
ORTHOMCL108	null	4	1	6	5	4	1	7	1	1	1	1
ORTHOMCL109	null	3	3	3	4	3	3	3	3	2	2	3
ORTHOMCL110	null	2	1	7	6	5	2	4	1	0	2	2
ORTHOMCL111	null	3	1	2	2	5	1	7	8	1	1	1
ORTHOMCL112	null	3	2	3	2	3	3	3	4	3	3	3
ORTHOMCL113	null	2	2	4	1	5	3	5	3	2	2	3
ORTHOMCL114	null	3	3	3	3	3	3	3	3	2	3	3
ORTHOMCL115	null	1	1	6	6	1	4	3	3	1	1	5
ORTHOMCL121	null	3	2	3	3	3	2	3	2	3	4	3
ORTHOMCL122	null	1	1	5	7	1	2	4	7	1	1	1
ORTHOMCL123	null	3	3	3	3	3	3	3	3	1	3	3
ORTHOMCL124	null	7	1	5	1	2	1	2	7	1	1	3
ORTHOMCL125	null	3	3	3	3	2	3	3	3	2	3	3
ORTHOMCL127	null	2	2	3	2	3	2	3	3	4	2	5
ORTHOMCL128	null	3	1	3	3	3	3	3	3	3	3	3
ORTHOMCL129	null	3	3	3	3	3	3	3	3	3	3	1
ORTHOMCL130	null	2	2	5	2	2	3	3	3	3	3	3
ORTHOMCL132	null	4	2	4	3	2	3	2	2	3	1	4
ORTHOMCL133	null	6	2	2	3	2	2	4	2	3	2	2
ORTHOMCL134	null	1	1	6	10	2	1	2	1	1	1	4
ORTHOMCL135	null	3	2	3	3	3	3	3	3	2	3	2
ORTHOMCL136	null	3	2	5	4	3	2	3	2	1	2	3
ORTHOMCL137	null	2	2	6	2	5	2	3	2	2	2	2
ORTHOMCL139	null	1	1	2	5	4	2	2	2	2	2	7
ORTHOMCL140	null	1	1	5	11	1	2	3	1	1	1	3
ORTHOMCL141	null	2	2	3	2	2	2	4	7	1	2	3
ORTHOMCL142	null	1	1	4	2	2	2	3	3	4	5	3
ORTHOMCL143	null	2	2	3	2	3	3	2	3	1	2	7
ORTHOMCL144	null	1	1	7	12	1	1	1	1	1	1	3
ORTHOMCL145	null	1	1	5	3	6	1	5	1	2	2	2
ORTHOMCL146	null	3	2	3	3	3	3	3	2	2	2	3
ORTHOMCL147	null	3	1	6	5	3	2	1	2	2	2	2
ORTHOMCL148	null	3	3	3	3	3	1	3	2	3	2	3
ORTHOMCL149	null	3	1	4	4	2	2	3	3	1	1	5
ORTHOMCL150	null	4	1	1	8	3	1	1	1	1	1	7
ORTHOMCL151	null	3	2	3	3	2	3	3	2	1	4	3
ORTHOMCL152	null	2	2	3	3	3	2	4	3	2	2	3
ORTHOMCL153	null	2	3	3	3	4	4	0	3	1	3	3
ORTHOMCL154	null	1	1	6	6	1	1	5	4	1	1	2
ORTHOMCL155	null	3	3	3	3	3	3	3	2	1	2	3
ORTHOMCL156	null	3	3	3	3	3	2	2	1	3	3	3
ORTHOMCL157	null	2	2	2	3	2	2	1	2	1	2	10
ORTHOMCL159	null	2	1	1	3	3	2	3	2	4	4	4
ORTHOMCL160	null	1	2	3	2	6	2	4	2	1	2	4
ORTHOMCL161	null	2	1	2	3	4	1	10	1	1	1	3
ORTHOMCL162	null	1	1	7	12	2	1	1	1	1	1	1
ORTHOMCL163	null	2	2	3	3	5	2	3	2	1	2	4
ORTHOMCL164	null	1	1	9	9	1	3	1	1	1	1	1
ORTHOMCL165	null	2	3	4	3	5	2	3	0	2	1	3
ORTHOMCL166	null	3	2	2	2	4	2	2	4	2	2	3
ORTHOMCL167	null	6	1	4	3	1	2	3	1	2	2	3
ORTHOMCL169	null	3	2	3	4	2	2	2	3	2	2	3
ORTHOMCL170	null	3	2	2	5	1	5	2	2	1	2	3
ORTHOMCL176	null	0	1	7	6	5	3	2	2	0	1	1
ORTHOMCL178	null	4	2	2	2	5	2	2	2	1	2	3
ORTHOMCL180	null	2	2	3	3	2	2	2	2	1	2	6
ORTHOMCL181	null	3	1	3	3	3	1	3	4	2	2	2
ORTHOMCL182	null	2	2	2	5	5	2	2	2	2	1	2
ORTHOMCL183	null	3	3	4	3	1	1	2	1	3	2	4
ORTHOMCL184	null	3	2	3	3	3	2	3	2	1	2	3
ORTHOMCL185	null	2	2	2	2	5	2	3	1	2	2	4
ORTHOMCL186	null	5	2	2	2	5	2	2	2	2	1	2
ORTHOMCL187	null	2	3	2	4	4	4	2	1	3	2	0
ORTHOMCL189	null	3	1	1	2	1	1	1	1	1	1	14
ORTHOMCL190	null	2	2	4	4	4	2	2	2	1	2	2
ORTHOMCL191	null	2	2	3	2	2	2	5	3	2	2	2
ORTHOMCL192	null	1	1	3	3	8	3	1	1	1	1	4
ORTHOMCL193	null	2	1	6	5	5	1	3	1	1	1	1
ORTHOMCL194	null	4	1	3	3	4	3	3	3	1	1	1
ORTHOMCL196	null	1	1	1	5	2	1	3	1	1	1	10
ORTHOMCL197	null	3	1	4	3	3	1	7	1	0	1	3
ORTHOMCL198	null	1	1	1	4	1	1	1	2	1	1	13
ORTHOMCL199	null	1	1	6	7	6	1	1	1	1	1	1
ORTHOMCL200	null	2	2	3	3	5	2	2	2	2	2	2
ORTHOMCL201	null	2	2	3	2	3	3	1	2	4	2	3
ORTHOMCL202	null	1	1	2	10	1	1	5	1	1	1	3
ORTHOMCL203	null	1	1	6	6	4	1	2	2	1	1	2
ORTHOMCL204	null	3	2	3	2	2	3	3	2	2	2	2
ORTHOMCL205	null	5	1	3	4	1	3	1	5	1	1	1
ORTHOMCL206	null	4	5	1	2	1	0	9	1	1	1	1
ORTHOMCL208	null	4	1	3	3	2	2	2	3	2	2	2
ORTHOMCL209	null	1	2	2	3	2	3	3	5	2	2	1
ORTHOMCL210	null	2	1	4	3	2	2	3	2	2	2	3
ORTHOMCL211	null	1	1	5	6	2	1	1	1	1	1	6
ORTHOMCL214	null	2	2	3	3	4	2	2	2	2	1	3
ORTHOMCL215	null	1	1	5	6	6	1	2	1	1	1	1
ORTHOMCL216	null	2	1	2	2	3	2	2	5	2	2	3
ORTHOMCL217	null	3	2	3	3	4	2	2	2	2	2	1
ORTHOMCL219	null	1	1	3	3	5	1	1	5	1	1	4
ORTHOMCL220	null	1	1	6	5	4	1	1	1	1	1	4
ORTHOMCL221	null	2	1	2	2	2	4	3	4	1	1	4
ORTHOMCL222	null	2	2	2	4	2	2	3	2	3	3	1
ORTHOMCL223	null	1	1	3	3	4	3	7	1	1	1	1
ORTHOMCL224	null	2	2	2	5	3	2	2	3	1	1	3
ORTHOMCL225	null	2	4	1	2	2	3	2	3	3	3	1
ORTHOMCL228	null	3	4	2	2	2	2	2	3	1	2	3
ORTHOMCL230	null	1	1	3	4	2	5	1	5	1	1	2
ORTHOMCL234	null	3	2	1	1	2	3	2	5	2	1	3
ORTHOMCL235	null	2	2	3	2	5	2	2	2	1	2	2
ORTHOMCL236	null	1	1	3	5	4	5	2	1	1	1	1
ORTHOMCL238	null	3	2	2	2	2	2	3	3	2	2	2
ORTHOMCL239	null	3	1	3	3	3	3	3	1	1	1	3
ORTHOMCL240	null	2	2	4	4	2	2	2	2	1	2	2
ORTHOMCL242	null	2	2	2	3	5	2	2	2	1	2	2
ORTHOMCL243	null	3	2	2	3	2	2	3	2	2	2	2
ORTHOMCL244	null	5	2	2	2	2	2	2	3	1	2	2
ORTHOMCL246	null	2	2	2	6	2	2	2	2	2	2	1
ORTHOMCL247	null	2	2	2	2	3	2	2	2	3	2	3
ORTHOMCL249	null	2	2	2	2	4	2	2	2	3	3	1
ORTHOMCL250	null	3	2	1	2	2	4	2	2	3	2	2
ORTHOMCL251	null	4	1	3	3	1	1	8	1	1	1	1
ORTHOMCL252	null	3	2	1	3	2	2	3	2	2	2	3
ORTHOMCL253	null	2	2	2	2	5	2	2	2	2	2	2
ORTHOMCL254	null	2	1	2	2	4	1	1	1	1	1	9
ORTHOMCL255	null	3	2	2	2	2	2	4	2	2	2	2
ORTHOMCL256	null	2	2	2	3	4	3	1	2	3	1	2
ORTHOMCL257	null	4	5	1	1	2	2	2	1	2	2	3
ORTHOMCL258	null	1	1	5	5	1	1	1	1	1	1	7
ORTHOMCL259	null	2	1	4	3	3	2	1	1	3	1	4
ORTHOMCL260	null	1	2	4	2	3	2	2	2	2	2	3
ORTHOMCL261	null	2	2	2	3	3	2	3	2	1	2	3
ORTHOMCL262	null	1	1	2	2	8	1	2	1	1	1	5
ORTHOMCL263	null	2	2	2	2	3	2	2	2	2	2	4
ORTHOMCL264	null	2	1	3	3	3	1	2	1	1	1	7
ORTHOMCL265	null	2	2	2	4	2	3	2	2	1	2	3
ORTHOMCL266	null	2	1	4	3	2	2	2	2	1	1	5
ORTHOMCL267	null	1	1	4	6	1	1	1	1	1	1	7
ORTHOMCL270	null	1	1	5	4	1	3	1	1	1	1	6
ORTHOMCL271	null	1	1	4	4	5	1	2	1	1	1	4
ORTHOMCL272	null	1	1	4	3	5	2	4	1	1	1	2
ORTHOMCL273	null	2	2	2	2	3	2	2	2	3	3	2
ORTHOMCL274	null	2	2	2	2	3	3	2	2	2	3	2
ORTHOMCL275	null	1	1	4	2	2	2	1	1	1	1	9
ORTHOMCL276	null	2	2	4	4	2	2	2	2	1	2	2
ORTHOMCL277	null	1	1	7	7	3	1	1	1	1	1	1
ORTHOMCL278	null	2	1	3	3	3	3	3	2	1	1	3
ORTHOMCL279	null	1	1	1	8	1	1	1	1	1	1	8
ORTHOMCL280	null	1	1	6	5	4	1	3	1	1	1	1
ORTHOMCL282	null	1	1	4	3	4	1	6	1	1	1	1
ORTHOMCL283	null	2	2	3	2	2	2	2	2	3	2	2
ORTHOMCL284	null	2	2	2	2	7	2	2	2	1	1	1
ORTHOMCL285	null	2	2	2	4	3	2	2	2	2	1	2
ORTHOMCL286	null	2	2	2	2	1	2	3	2	1	2	5
ORTHOMCL287	null	4	2	3	2	2	2	2	2	1	2	2
ORTHOMCL288	null	2	1	2	3	3	2	2	2	2	2	3
ORTHOMCL290	null	4	2	2	2	2	2	2	2	2	2	2
ORTHOMCL291	null	3	1	7	1	1	1	2	2	1	1	4
ORTHOMCL292	null	3	1	1	5	4	1	4	1	1	2	1
ORTHOMCL293	null	2	2	2	2	3	2	2	2	2	2	3
ORTHOMCL294	null	1	1	4	2	3	3	3	2	1	1	3
ORTHOMCL295	null	3	3	1	1	6	2	3	1	1	1	2
ORTHOMCL296	null	2	1	4	3	4	1	1	2	1	1	4
ORTHOMCL297	null	3	1	3	10	1	1	1	1	1	1	1
ORTHOMCL298	null	3	2	2	2	2	2	3	2	2	1	3
ORTHOMCL299	null	2	2	2	3	3	2	2	3	1	1	3
ORTHOMCL300	null	2	2	2	2	3	2	3	2	1	2	3
ORTHOMCL301	null	2	2	3	2	2	2	3	2	2	2	2
ORTHOMCL302	null	2	2	2	2	2	2	2	2	2	2	4
ORTHOMCL303	null	2	1	3	3	1	1	6	1	1	1	4
ORTHOMCL304	null	3	1	5	3	1	2	1	1	2	2	3
ORTHOMCL306	null	1	1	8	7	1	1	1	1	1	1	1
ORTHOMCL307	null	2	1	2	2	6	2	1	1	2	2	3
ORTHOMCL308	null	2	1	1	2	2	1	5	5	2	1	2
ORTHOMCL310	null	1	2	2	2	4	2	2	2	2	3	2
ORTHOMCL312	null	1	1	5	5	2	1	1	1	1	1	5
ORTHOMCL313	null	2	3	3	2	2	2	2	3	2	1	2
ORTHOMCL315	null	2	2	2	2	2	2	2	2	2	2	4
ORTHOMCL316	null	2	2	2	2	2	2	2	2	1	2	5
ORTHOMCL320	null	2	1	2	3	8	3	1	1	1	1	1
ORTHOMCL321	null	3	1	2	2	3	2	2	2	2	2	3
ORTHOMCL322	null	2	1	4	4	1	1	4	2	1	1	3
ORTHOMCL323	null	1	1	4	4	2	1	3	1	1	1	5
ORTHOMCL324	null	2	1	3	4	2	2	2	3	2	2	1
ORTHOMCL325	null	2	2	2	1	4	2	2	2	2	1	4
ORTHOMCL326	null	1	1	2	1	4	1	3	3	1	1	6
ORTHOMCL329	null	1	1	6	6	4	1	1	1	1	1	1
ORTHOMCL330	null	1	1	4	9	1	1	1	3	1	1	1
ORTHOMCL335	null	3	2	3	2	2	2	2	2	1	2	2
ORTHOMCL336	null	2	2	2	2	3	2	2	2	2	2	2
ORTHOMCL337	null	4	1	3	3	5	1	2	1	1	1	1
ORTHOMCL339	null	1	2	2	5	2	2	2	2	2	2	1
ORTHOMCL340	null	2	2	3	2	2	2	2	2	1	2	3
ORTHOMCL341	null	5	1	1	1	5	1	1	1	1	1	5
ORTHOMCL342	null	2	1	3	2	2	2	2	2	2	1	4
ORTHOMCL343	null	4	1	3	5	2	2	1	1	1	1	2
ORTHOMCL345	null	3	2	2	2	2	2	4	1	1	2	2
ORTHOMCL346	null	3	2	2	2	2	3	2	2	1	2	2
ORTHOMCL347	null	1	1	3	3	2	2	6	1	2	1	1
ORTHOMCL348	null	2	2	2	2	2	2	2	2	3	2	2
ORTHOMCL349	null	3	2	2	2	2	2	2	2	2	2	2
ORTHOMCL350	null	2	1	3	3	2	1	1	4	1	2	3
ORTHOMCL352	null	2	1	2	4	6	2	1	1	1	1	2
ORTHOMCL353	null	2	2	3	2	2	2	3	2	1	1	3
ORTHOMCL354	null	2	1	2	2	2	4	2	1	2	2	3
ORTHOMCL355	null	2	2	2	2	2	2	2	2	2	2	3
ORTHOMCL356	null	3	1	4	4	2	1	3	1	1	1	2
ORTHOMCL357	null	2	2	2	3	1	2	3	2	2	2	2
ORTHOMCL359	null	2	2	3	2	2	2	2	2	2	3	1
ORTHOMCL360	null	2	2	3	2	3	2	2	2	2	1	2
ORTHOMCL361	null	2	2	2	3	4	2	2	2	1	1	2
ORTHOMCL362	null	3	2	2	1	2	2	4	2	1	2	2
ORTHOMCL363	null	1	1	5	5	2	1	3	1	2	1	1
ORTHOMCL364	null	3	1	3	3	2	1	3	2	1	1	3
ORTHOMCL367	null	2	2	2	3	3	2	2	2	1	2	2
ORTHOMCL369	null	1	1	5	6	4	1	1	1	1	1	1
ORTHOMCL370	null	2	2	2	2	2	2	2	3	2	2	2
ORTHOMCL371	null	2	2	2	2	4	2	2	2	2	1	2
ORTHOMCL372	null	2	2	1	2	3	2	2	2	2	2	3
ORTHOMCL373	null	1	1	5	6	1	1	2	5	1	0	0
ORTHOMCL374	null	2	1	3	1	5	1	5	1	1	1	2
ORTHOMCL376	null	2	2	4	2	2	2	2	2	1	2	2
ORTHOMCL377	null	1	1	2	4	6	1	0	1	1	1	5
ORTHOMCL378	null	4	1	1	1	6	1	1	5	1	1	1
ORTHOMCL379	null	1	1	6	5	2	3	1	1	1	1	1
ORTHOMCL380	null	2	2	2	2	2	3	1	1	2	2	4
ORTHOMCL381	null	3	2	1	2	2	2	2	2	2	2	3
ORTHOMCL383	null	1	2	3	3	2	2	3	1	2	2	2
ORTHOMCL384	null	2	2	4	2	2	2	1	2	1	2	3
ORTHOMCL385	null	1	1	4	4	4	1	1	1	1	1	4
ORTHOMCL388	null	1	1	4	3	1	2	2	1	2	1	5
ORTHOMCL389	null	3	1	3	3	1	3	1	1	2	2	3
ORTHOMCL390	null	2	2	2	2	2	2	2	2	2	2	3
ORTHOMCL392	null	2	1	3	2	2	1	1	1	1	1	8
ORTHOMCL393	null	1	1	6	6	1	2	1	2	1	1	1
ORTHOMCL395	null	1	1	6	1	7	1	1	1	1	1	2
ORTHOMCL396	null	1	1	2	2	3	1	3	3	1	1	5
ORTHOMCL397	null	2	2	3	2	1	2	3	2	2	2	2
ORTHOMCL398	null	1	1	1	2	4	1	1	2	2	1	7
ORTHOMCL399	null	1	1	1	1	7	1	1	1	1	1	7
ORTHOMCL401	null	3	2	2	2	2	2	2	2	1	2	3
ORTHOMCL402	null	1	1	7	5	2	1	1	1	1	1	2
ORTHOMCL403	null	2	2	3	3	2	2	2	2	2	1	2
ORTHOMCL404	null	1	1	4	4	2	2	1	1	1	1	5
ORTHOMCL408	null	1	1	3	3	9	1	1	0	1	1	2
ORTHOMCL409	null	1	2	3	2	4	2	2	2	2	1	2
ORTHOMCL410	null	1	1	6	7	1	1	1	1	1	1	2
ORTHOMCL411	null	1	1	4	6	3	1	2	2	1	1	1
ORTHOMCL413	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL414	null	3	1	2	2	2	2	2	2	2	2	2
ORTHOMCL415	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL416	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL417	null	2	1	3	2	2	4	2	1	1	1	3
ORTHOMCL418	null	2	1	2	3	1	1	1	3	1	1	6
ORTHOMCL419	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL420	null	2	2	2	1	2	2	1	2	3	2	3
ORTHOMCL421	null	3	1	1	4	2	2	1	2	2	2	2
ORTHOMCL422	null	2	2	2	2	2	2	2	2	1	2	3
ORTHOMCL423	null	3	3	2	3	3	0	2	2	1	1	2
ORTHOMCL425	null	1	1	7	5	1	2	1	1	1	1	1
ORTHOMCL426	null	2	1	5	7	1	1	1	1	1	1	1
ORTHOMCL428	null	2	1	2	4	2	2	1	1	3	2	2
ORTHOMCL429	null	3	1	3	4	1	1	1	1	2	1	4
ORTHOMCL430	null	3	1	1	1	8	1	1	1	0	1	4
ORTHOMCL431	null	1	1	1	3	1	5	1	2	1	1	5
ORTHOMCL432	null	3	2	2	2	3	2	2	2	1	1	2
ORTHOMCL433	null	3	2	2	3	1	2	2	2	2	1	2
ORTHOMCL434	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL436	null	3	2	3	2	2	1	1	2	2	2	2
ORTHOMCL437	null	2	2	2	2	2	2	2	2	1	2	3
ORTHOMCL440	null	3	1	1	2	1	2	2	3	2	1	4
ORTHOMCL441	null	3	1	2	2	2	2	2	2	2	3	1
ORTHOMCL442	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL443	null	2	2	3	2	2	2	2	2	1	2	2
ORTHOMCL444	null	1	1	3	2	1	1	5	6	1	1	0
ORTHOMCL446	null	2	2	2	2	1	3	2	2	2	2	2
ORTHOMCL447	null	1	1	1	6	7	1	1	1	1	1	1
ORTHOMCL448	null	2	2	2	2	2	2	3	2	1	2	2
ORTHOMCL449	null	1	1	3	4	3	1	1	1	1	1	5
ORTHOMCL450	null	2	2	2	2	2	2	2	3	1	2	2
ORTHOMCL451	null	3	1	1	2	1	1	1	1	1	2	8
ORTHOMCL452	null	2	1	1	3	7	1	3	2	1	0	1
ORTHOMCL454	null	2	2	2	2	2	2	3	2	2	2	1
ORTHOMCL455	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL456	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL457	null	2	2	3	3	2	2	2	2	1	1	2
ORTHOMCL458	null	1	1	4	4	4	2	1	1	1	0	3
ORTHOMCL459	null	2	1	4	3	1	2	1	1	2	2	3
ORTHOMCL460	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL461	null	1	1	5	6	1	2	1	1	1	1	2
ORTHOMCL465	null	1	1	3	5	3	1	3	1	1	1	2
ORTHOMCL466	null	2	2	3	2	2	2	2	2	2	1	2
ORTHOMCL467	null	2	2	1	3	3	2	2	2	2	2	1
ORTHOMCL468	null	2	1	1	2	2	2	6	1	2	2	1
ORTHOMCL470	null	2	1	4	5	1	2	3	1	1	1	1
ORTHOMCL471	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL472	null	2	2	2	2	2	4	2	1	2	2	1
ORTHOMCL476	null	2	2	2	3	2	2	2	2	1	2	2
ORTHOMCL477	null	1	1	1	9	2	1	2	1	1	1	2
ORTHOMCL478	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL479	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL480	null	2	2	2	2	3	2	2	2	1	2	2
ORTHOMCL481	null	1	1	7	6	1	1	1	1	1	1	1
ORTHOMCL482	null	1	1	4	6	2	1	1	1	1	1	3
ORTHOMCL483	null	2	2	3	2	2	2	2	2	2	2	1
ORTHOMCL484	null	1	1	2	2	2	2	2	3	2	3	2
ORTHOMCL485	null	1	2	4	4	1	2	2	2	2	1	1
ORTHOMCL486	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL487	null	1	1	1	1	2	6	4	1	2	2	1
ORTHOMCL489	null	2	2	2	2	3	2	2	2	1	2	2
ORTHOMCL490	null	1	1	1	5	3	1	3	1	1	0	5
ORTHOMCL491	null	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL492	null	2	2	2	2	1	2	3	2	2	2	2
ORTHOMCL494	null	1	1	2	4	3	2	2	2	2	1	2
ORTHOMCL495	null	1	1	6	7	1	1	1	1	1	1	1
ORTHOMCL496	null	1	1	5	7	1	1	2	1	1	1	1
ORTHOMCL498	null	2	2	3	2	2	2	2	2	1	2	2
ORTHOMCL502	null	1	1	3	2	8	2	1	1	1	1	1
ORTHOMCL503	null	1	2	3	3	2	1	2	2	2	2	2
ORTHOMCL504	null	1	1	1	7	2	4	2	1	1	1	1
ORTHOMCL505	null	1	1	6	5	1	1	1	1	1	1	3
ORTHOMCL508	null	2	2	2	3	2	2	1	2	1	2	2
ORTHOMCL509	null	1	1	3	3	1	1	2	1	1	1	6
ORTHOMCL510	null	1	1	4	3	2	2	2	2	1	1	2
ORTHOMCL511	null	2	2	2	2	2	2	2	2	1	2	2
ORTHOMCL512	null	8	1	1	1	2	1	2	1	1	1	2
ORTHOMCL513	null	3	1	1	1	6	1	2	1	1	1	3
ORTHOMCL514	null	2	2	2	2	2	2	2	2	2	1	2
ORTHOMCL515	null	2	2	2	2	2	2	2	2	1	2	2
ORTHOMCL517	null	2	1	0	0	4	1	4	1	1	1	6
ORTHOMCL518	null	2	2	2	1	2	2	2	2	2	2	2
ORTHOMCL519	null	2	1	2	2	2	2	1	2	3	2	2
ORTHOMCL522	null	1	2	2	1	3	3	2	2	2	2	1
ORTHOMCL523	null	3	1	1	1	1	2	1	2	4	3	2
ORTHOMCL524	null	2	1	3	4	1	1	3	1	1	1	3
ORTHOMCL525	null	3	1	4	4	2	1	1	1	1	1	2
ORTHOMCL526	null	2	2	2	2	2	2	2	2	1	2	2
