#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL132	0.0280237	0.552566	0.0843535	0.031729	0.629213	0.0149935	0.601604	0.562548	0.531513	0.270944	0.547442	0.244003	0.770403	0.661548	0.525451	0.387447	0.117247	0.589285	0.519275	0.519275	N/A
ORTHOMCL133	0.536025	0.0186928	0.538475	4.85634e-07	0.592724	0.647963	0.571648	0.543106	0.521352	0.0138306	0.532422	0.617545	0.143079	0.618512	0.51719	0.69724	0.635261	0.562494	0.512977	0.512977	N/A
ORTHOMCL134	0.596995	8.34482e-06	0.519823	0.520952	1.59713e-05	0.222586	0.107528	0.543106	0.521352	0.631832	0.532422	0.176606	0.634426	0.565554	0.51719	0.69724	0.0146662	0.0937769	0.512977	0.512977	N/A
ORTHOMCL137	2.96459e-07	0.536025	0.538475	0.540597	0.592724	0.647963	0.571648	0.543106	0.521352	0.0764903	0.532422	0.617545	0.717354	0.618512	0.51719	0.00329976	0.635261	0.562494	0.512977	0.512977	N/A
ORTHOMCL139	0.536025	1.27074e-05	0.519823	0.520952	0.592724	0.647963	0.107528	0.543106	0.521352	0.631832	0.532422	0.617545	0.717354	0.618512	0.51719	0.0360655	8.11334e-06	0.562494	0.512977	0.512977	N/A
ORTHOMCL140	0.582998	6.23121e-09	0.519823	0.520952	0.000250027	0.222586	0.107528	0.543106	0.521352	0.0764903	0.532422	0.176606	0.328744	0.618512	0.51719	0.297711	0.0788308	0.562494	0.512977	0.512977	N/A
ORTHOMCL141	0.552566	0.0791142	0.538475	0.540597	0.629213	0.300693	0.153549	0.562548	0.531513	0.113818	0.547442	0.000122421	0.328744	0.618512	0.525451	0.387447	0.681686	0.134778	0.519275	0.519275	N/A
ORTHOMCL142	0.0280237	0.0791142	0.519823	0.520952	0.629213	0.0383652	0.00262144	0.562548	0.531513	0.67762	0.547442	0.660364	0.209342	0.245844	0.525451	0.387447	0.681686	0.589285	0.519275	0.519275	N/A
ORTHOMCL143	0.0186928	0.536025	0.538475	0.540597	0.592724	0.647963	0.571648	0.543106	0.521352	0.631832	0.0713755	0.660364	0.0418368	0.661548	0.525451	0.750211	0.000226537	0.589285	0.519275	0.519275	N/A
ORTHOMCL144	0.610244	4.82771e-07	0.519823	0.520952	9.16907e-09	0.584328	0.537957	0.522293	0.510852	0.573892	0.516623	0.564958	0.634426	0.565554	0.508708	0.6189	0.0031179	0.532847	0.506553	0.506553	N/A
ORTHOMCL145	0.00201404	0.552566	0.519823	0.520952	0.0512594	0.647963	0.107528	0.543106	0.521352	0.000801249	0.532422	0.176606	0.717354	0.178065	0.51719	0.000516353	0.635261	0.562494	0.512977	0.512977	N/A
ORTHOMCL147	0.0465827	0.582998	0.0577206	0.0211675	0.000250027	0.647963	0.571648	0.543106	0.521352	0.198176	0.532422	0.617545	0.717354	0.618512	0.51719	0.125626	0.635261	0.562494	0.512977	0.512977	N/A
ORTHOMCL149	0.568205	0.568205	0.000658946	0.559024	0.0765963	0.0149935	0.601604	0.562548	0.531513	0.67762	0.547442	0.660364	0.328744	0.618512	0.525451	0.387447	0.0315732	0.134778	0.519275	0.519275	N/A
ORTHOMCL150	0.0540444	1.44807e-10	0.0577206	0.00110192	0.592724	0.222586	0.571648	0.543106	0.521352	0.198176	0.532422	0.176606	0.634426	0.565554	0.51719	0.125626	8.11334e-06	0.0937769	0.512977	0.512977	N/A
ORTHOMCL153	0.552566	0.552566	0.556033	0.0888765	0.629213	0.696503	0.601604	0.562548	0.531513	0.000592379	0.547442	0.660364	0.0418368	0.10076	0.525451	0.184758	0.681686	0.589285	0.519275	0.519275	N/A
ORTHOMCL154	0.596995	0.596995	0.519823	0.520952	1.59713e-05	0.222586	0.107528	0.543106	0.521352	0.000801249	0.532422	0.0106726	0.634426	0.565554	0.51719	0.297711	0.635261	0.0937769	0.512977	0.512977	N/A
ORTHOMCL157	0.536025	0.0186928	0.538475	0.540597	0.592724	0.647963	0.571648	0.543106	0.521352	0.198176	0.532422	0.617545	0.328744	0.618512	0.51719	0.69724	5.99273e-09	0.562494	0.512977	0.512977	N/A
