#FamilyID	pvalue	Significant at 0.05
ORTHOMCL373	0	y
ORTHOMCL374	0	y
ORTHOMCL377	0	y
ORTHOMCL378	0	y
ORTHOMCL379	0	y
ORTHOMCL385	0.001	y
ORTHOMCL388	0.002	y
ORTHOMCL389	0.008	y
ORTHOMCL392	0	y
ORTHOMCL393	0.001	y
ORTHOMCL395	0	y
ORTHOMCL396	0.036	y
ORTHOMCL398	0	y
ORTHOMCL399	0	y
ORTHOMCL402	0	y
ORTHOMCL404	0.002	y
ORTHOMCL408	0	y
ORTHOMCL410	0	y
ORTHOMCL411	0.002	y
ORTHOMCL417	0.009	y
ORTHOMCL418	0	y
ORTHOMCL421	0.002	y
ORTHOMCL423	0.033	y
ORTHOMCL425	0	y
ORTHOMCL426	0	y
ORTHOMCL428	0.015	y
ORTHOMCL429	0	y
ORTHOMCL430	0	y
ORTHOMCL431	0	y
ORTHOMCL440	0.002	y
ORTHOMCL444	0	y
ORTHOMCL447	0	y
ORTHOMCL449	0	y
ORTHOMCL451	0	y
ORTHOMCL452	0	y
ORTHOMCL458	0.001	y
ORTHOMCL459	0.013	y
ORTHOMCL461	0.002	y
ORTHOMCL465	0.002	y
ORTHOMCL468	0.002	y
ORTHOMCL470	0.001	y
ORTHOMCL477	0	y
ORTHOMCL481	0.001	y
ORTHOMCL482	0	y
ORTHOMCL487	0	y
ORTHOMCL490	0	y
ORTHOMCL495	0.001	y
ORTHOMCL496	0	y
ORTHOMCL502	0	y
ORTHOMCL504	0	y
ORTHOMCL505	0	y
ORTHOMCL509	0.001	y
ORTHOMCL512	0	y
ORTHOMCL513	0	y
ORTHOMCL517	0	y
ORTHOMCL523	0.008	y
ORTHOMCL524	0.002	y
ORTHOMCL525	0.002	y
ORTHOMCL528	0.01	y
ORTHOMCL530	0	y
ORTHOMCL531	0.013	y
ORTHOMCL532	0.007	y
ORTHOMCL533	0.013	y
ORTHOMCL537	0.047	y
ORTHOMCL541	0.001	y
ORTHOMCL544	0	y
ORTHOMCL545	0	y
ORTHOMCL546	0	y
ORTHOMCL548	0.002	y
ORTHOMCL549	0	y
ORTHOMCL550	0	y
ORTHOMCL552	0.031	y
ORTHOMCL553	0.002	y
ORTHOMCL554	0.002	y
ORTHOMCL555	0.011	y
ORTHOMCL558	0.002	y
ORTHOMCL562	0.002	y
ORTHOMCL563	0.013	y
ORTHOMCL565	0.004	y
ORTHOMCL567	0	y
ORTHOMCL571	0.001	y
ORTHOMCL574	0.001	y
ORTHOMCL575	0.001	y
ORTHOMCL576	0.043	y
ORTHOMCL581	0.009	y
ORTHOMCL584	0.002	y
ORTHOMCL586	0.012	y
ORTHOMCL587	0.013	y
ORTHOMCL588	0.003	y
ORTHOMCL590	0.001	y
ORTHOMCL591	0.007	y
ORTHOMCL594	0.002	y
ORTHOMCL597	0.01	y
ORTHOMCL600	0	y
ORTHOMCL602	0	y
ORTHOMCL604	0	y
ORTHOMCL605	0.002	y
ORTHOMCL606	0.002	y
ORTHOMCL608	0	y
ORTHOMCL609	0.048	y
ORTHOMCL610	0.021	y
ORTHOMCL612	0.001	y
ORTHOMCL615	0.003	y
ORTHOMCL618	0.001	y
ORTHOMCL619	0.002	y
ORTHOMCL622	0.007	y
ORTHOMCL623	0.002	y
ORTHOMCL626	0	y
ORTHOMCL629	0.002	y
ORTHOMCL630	0	y
ORTHOMCL631	0.032	y
ORTHOMCL632	0.02	y
ORTHOMCL636	0.002	y
ORTHOMCL637	0.002	y
ORTHOMCL641	0.034	y
ORTHOMCL642	0.007	y
ORTHOMCL646	0	y
ORTHOMCL647	0.013	y
ORTHOMCL650	0.002	y
ORTHOMCL653	0	y
ORTHOMCL654	0.002	y
ORTHOMCL658	0.001	y
ORTHOMCL661	0.002	y
ORTHOMCL663	0.002	y
ORTHOMCL664	0.002	y
ORTHOMCL665	0	y
ORTHOMCL667	0.015	y
ORTHOMCL668	0	y
ORTHOMCL669	0	y
ORTHOMCL671	0.002	y
ORTHOMCL678	0.013	y
ORTHOMCL681	0.011	y
ORTHOMCL682	0.03	y
ORTHOMCL683	0.039	y
ORTHOMCL685	0.002	y
ORTHOMCL686	0.036	y
ORTHOMCL690	0.001	y
ORTHOMCL691	0	y
ORTHOMCL692	0.002	y
ORTHOMCL695	0.002	y
ORTHOMCL697	0.004	y
ORTHOMCL699	0	y
ORTHOMCL700	0.044	y
ORTHOMCL701	0.001	y
ORTHOMCL702	0	y
ORTHOMCL703	0.002	y
ORTHOMCL708	0.007	y
ORTHOMCL712	0.009	y
ORTHOMCL716	0	y
ORTHOMCL717	0.03	y
ORTHOMCL718	0	y
ORTHOMCL719	0.032	y
ORTHOMCL721	0.002	y
ORTHOMCL723	0.006	y
ORTHOMCL724	0.045	y
ORTHOMCL726	0.003	y
ORTHOMCL727	0.02	y
ORTHOMCL732	0.002	y
ORTHOMCL733	0	y
ORTHOMCL736	0	y
ORTHOMCL737	0	y
ORTHOMCL738	0.013	y
ORTHOMCL740	0.002	y
ORTHOMCL741	0	y
ORTHOMCL742	0.03	y
ORTHOMCL743	0.01	y
ORTHOMCL750	0.002	y
ORTHOMCL751	0.007	y
ORTHOMCL758	0.001	y
ORTHOMCL759	0.013	y
ORTHOMCL760	0	y
ORTHOMCL762	0	y
ORTHOMCL765	0.024	y
ORTHOMCL767	0	y
ORTHOMCL768	0.01	y
ORTHOMCL770	0.023	y
ORTHOMCL773	0.014	y
ORTHOMCL774	0.004	y
ORTHOMCL775	0	y
ORTHOMCL779	0	y
ORTHOMCL781	0.048	y
ORTHOMCL786	0	y
ORTHOMCL788	0.001	y
ORTHOMCL789	0.002	y
ORTHOMCL790	0.002	y
ORTHOMCL792	0	y
ORTHOMCL794	0.008	y
ORTHOMCL795	0	y
ORTHOMCL796	0.001	y
ORTHOMCL797	0.001	y
ORTHOMCL798	0.02	y
ORTHOMCL801	0	y
ORTHOMCL805	0.023	y
ORTHOMCL806	0.006	y
ORTHOMCL809	0	y
ORTHOMCL811	0.013	y
ORTHOMCL814	0.002	y
ORTHOMCL815	0.002	y
ORTHOMCL816	0.042	y
ORTHOMCL817	0.002	y
ORTHOMCL819	0	y
ORTHOMCL820	0.004	y
ORTHOMCL824	0.015	y
ORTHOMCL825	0.013	y
ORTHOMCL826	0.002	y
ORTHOMCL827	0.013	y
ORTHOMCL828	0.004	y
ORTHOMCL829	0.002	y
ORTHOMCL830	0.034	y
ORTHOMCL831	0.005	y
ORTHOMCL834	0.002	y
ORTHOMCL835	0.008	y
ORTHOMCL837	0.001	y
ORTHOMCL839	0.002	y
ORTHOMCL840	0.002	y
ORTHOMCL842	0	y
ORTHOMCL843	0	y
ORTHOMCL844	0.013	y
ORTHOMCL847	0.023	y
ORTHOMCL849	0.01	y
ORTHOMCL852	0.001	y
ORTHOMCL853	0.002	y
ORTHOMCL855	0.023	y
ORTHOMCL858	0.008	y
ORTHOMCL859	0.015	y
ORTHOMCL860	0.007	y
ORTHOMCL861	0.015	y
ORTHOMCL862	0.047	y
ORTHOMCL863	0.034	y
ORTHOMCL867	0	y
ORTHOMCL868	0.033	y
ORTHOMCL870	0.012	y
ORTHOMCL872	0.01	y
ORTHOMCL875	0	y
ORTHOMCL876	0.023	y
ORTHOMCL877	0.021	y
ORTHOMCL878	0.033	y
ORTHOMCL879	0.015	y
ORTHOMCL881	0.002	y
ORTHOMCL883	0.002	y
ORTHOMCL884	0.034	y
ORTHOMCL885	0	y
ORTHOMCL888	0.002	y
ORTHOMCL891	0.002	y
ORTHOMCL893	0.013	y
ORTHOMCL894	0.001	y
ORTHOMCL897	0	y
ORTHOMCL899	0.002	y
ORTHOMCL904	0.032	y
ORTHOMCL905	0.002	y
ORTHOMCL908	0	y
ORTHOMCL911	0	y
ORTHOMCL912	0.006	y
ORTHOMCL913	0.044	y
ORTHOMCL914	0.002	y
ORTHOMCL915	0.032	y
ORTHOMCL923	0	y
ORTHOMCL925	0	y
ORTHOMCL926	0	y
ORTHOMCL930	0	y
ORTHOMCL931	0	y
ORTHOMCL936	0.01	y
ORTHOMCL937	0.031	y
ORTHOMCL939	0.002	y
ORTHOMCL944	0.002	y
ORTHOMCL945	0.001	y
ORTHOMCL947	0.002	y
ORTHOMCL952	0.002	y
ORTHOMCL954	0.037	y
ORTHOMCL956	0.002	y
ORTHOMCL960	0.034	y
ORTHOMCL962	0.043	y
ORTHOMCL963	0.036	y
ORTHOMCL967	0.01	y
ORTHOMCL968	0.043	y
ORTHOMCL971	0.024	y
ORTHOMCL974	0.015	y
